id,"country_iso3_code","state_iso_3166_2_code","name_en","metro_code","time_zone"
120,"USA","US-IN","Indianapolis","527","America/Indiana/Indianapolis"
121,"USA","US-IN","Jasper","649","America/Indiana/Vincennes"
122,"USA","US-IN","Lexington","529","America/Indiana/Indianapolis"
123,"USA","US-IN","Madison","529","America/Indiana/Indianapolis"
124,"USA","US-IN","Mitchell","527","America/Indiana/Indianapolis"
125,"USA","US-IN","Orleans","529","America/Indiana/Indianapolis"
126,"USA","US-IN","Sellersburg","529","America/Kentucky/Louisville"
127,"USA","US-KS","El Dorado","678","America/Chicago"
128,"USA","US-KS","Greenwich","678","America/Chicago"
129,"USA","US-KS","Hiawatha","605","America/Chicago"
130,"USA","US-KS","Horton","605","America/Chicago"
131,"USA","US-KS","Independence","671","America/Chicago"
132,"USA","US-KS","New Cambria","722","America/Chicago"
133,"USA","US-KS","Sabetha","605","America/Chicago"
134,"USA","US-KS","Seneca","605","America/Chicago"
135,"USA","US-KS","Topeka","605","America/Chicago"
136,"USA","US-KS","White Cloud","638","America/Chicago"
137,"USA","US-KS","Wichita","678","America/Chicago"
138,"USA","US-KY","Falmouth","515","America/New_York"
139,"USA","US-KY","Foster","515","America/New_York"
140,"USA","US-KY","Lexington","541","America/New_York"
141,"USA","US-KY","Louisville","529","America/Kentucky/Louisville"
142,"USA","US-KY","Pembroke","659","America/Chicago"
143,"USA","US-KY","Walton","515","America/New_York"
144,"USA","US-KY","West Point","529","America/New_York"
145,"USA","US-LA","Covington","622","America/Chicago"
146,"USA","US-LA","Franklin","716","America/Chicago"
147,"USA","US-LA","Metairie","622","America/Chicago"
148,"USA","US-LA","New Orleans","622","America/Chicago"
149,"USA","US-LA","Youngsville","642","America/Chicago"
150,"USA","US-MD","Accokeek","511","America/New_York"
151,"USA","US-MD","Baltimore","512","America/New_York"
152,"USA","US-MD","Beltsville","511","America/New_York"
153,"USA","US-MD","Clinton","511","America/New_York"
154,"USA","US-MD","Columbia","512","America/New_York"
155,"USA","US-MD","Frederick","511","America/New_York"
156,"USA","US-MD","Frostburg","511","America/New_York"
157,"USA","US-MD","Gaithersburg","511","America/New_York"
158,"USA","US-MD","Glen Burnie","512","America/New_York"
159,"USA","US-MD","Hagerstown","511","America/New_York"
160,"USA","US-MD","Hampstead","512","America/New_York"
161,"USA","US-MD","Hancock","511","America/New_York"
162,"USA","US-MD","Hyattsville","511","America/New_York"
163,"USA","US-MD","Middle River","512","America/New_York"
164,"USA","US-MD","Montgomery Village","511","America/New_York"
165,"USA","US-MD","Owings","511","America/New_York"
166,"USA","US-MD","Owings Mills","512","America/New_York"
167,"USA","US-MD","Riderwood","512","America/New_York"
168,"USA","US-MD","Rockville","511","America/New_York"
169,"USA","US-MD","Salisbury","576","America/New_York"
170,"USA","US-MD","Silver Spring","511","America/New_York"
171,"USA","US-MD","Temple Hills","511","America/New_York"
172,"USA","US-MD","Towson","512","America/New_York"
173,"USA","US-MD","Upper Marlboro","511","America/New_York"
174,"USA","US-MD","Westminster","512","America/New_York"
175,"USA","US-MO","Advance","632","America/Chicago"
176,"USA","US-MO","Alton","619","America/Chicago"
177,"USA","US-MO","Barnhart","609","America/Chicago"
178,"USA","US-MO","Bridgeton","609","America/Chicago"
179,"USA","US-MO","Bunceton","604","America/Chicago"
180,"USA","US-MO","California","604","America/Chicago"
181,"USA","US-MO","Cape Girardeau","632","America/Chicago"
182,"USA","US-MO","Catawissa","609","America/Chicago"
183,"USA","US-MO","Fenton","609","America/Chicago"
184,"USA","US-MO","Foristell","609","America/Chicago"
185,"USA","US-MO","Fredericktown","632","America/Chicago"
186,"USA","US-MO","Gravois Mills","604","America/Chicago"
187,"USA","US-MO","House Springs","609","America/Chicago"
188,"USA","US-MO","Independence","616","America/Chicago"
189,"USA","US-MO","Jefferson City","604","America/Chicago"
190,"USA","US-MO","Kansas City","616","America/Chicago"
191,"USA","US-MO","Lake Saint Louis","609","America/Chicago"
192,"USA","US-MO","Park Hills","609","America/Chicago"
193,"USA","US-MO","St Louis","609","America/Chicago"
194,"USA","US-MO","Saint Mary","632","America/Chicago"
195,"USA","US-MO","Sikeston","632","America/Chicago"
196,"USA","US-MO","Tipton","604","America/Chicago"
197,"USA","US-MO","Valles Mines","609","America/Chicago"
198,"USA","US-MS","Carthage","718","America/Chicago"
199,"USA","US-MS","Clinton","718","America/Chicago"
200,"USA","US-MS","Columbus","673","America/Chicago"
201,"USA","US-MS","Flowood","718","America/Chicago"
202,"USA","US-MS","Greenwood","647","America/Chicago"
203,"USA","US-MS","Gulfport","746","America/Chicago"
204,"USA","US-MS","Horn Lake","640","America/Chicago"
205,"USA","US-MS","Jackson","718","America/Chicago"
206,"USA","US-MS","Laurel","710","America/Chicago"
207,"USA","US-MS","Meridian","711","America/Chicago"
208,"USA","US-MS","Ocean Springs","746","America/Chicago"
209,"USA","US-MS","Ridgeland","718","America/Chicago"
210,"USA","US-MS","Tougaloo","718","America/Chicago"
211,"USA","US-NC","Apex","560","America/New_York"
212,"USA","US-NC","Banner Elk","517","America/New_York"
213,"USA","US-NC","Cary","560","America/New_York"
214,"USA","US-NC","Charlotte","517","America/New_York"
215,"USA","US-NC","Crumpler","531","America/New_York"
216,"USA","US-NC","Dudley","560","America/New_York"
217,"USA","US-NC","Durham","560","America/New_York"
218,"USA","US-NC","Fleetwood","531","America/New_York"
219,"USA","US-NC","Goldsboro","560","America/New_York"
220,"USA","US-NC","Grassy Creek","531","America/New_York"
221,"USA","US-NC","Greensboro","518","America/New_York"
222,"USA","US-NC","Henderson","560","America/New_York"
223,"USA","US-NC","Holly Springs","560","America/New_York"
224,"USA","US-NC","Iron Station","517","America/New_York"
225,"USA","US-NC","Jefferson","517","America/New_York"
226,"USA","US-NC","Kinston","545","America/New_York"
227,"USA","US-NC","Lansing","517","America/New_York"
228,"USA","US-NC","Maxton","570","America/New_York"
229,"USA","US-NC","Morrisville","560","America/New_York"
230,"USA","US-NC","Murphy","575","America/New_York"
231,"USA","US-NC","Piney Creek","518","America/New_York"
232,"USA","US-NC","Raleigh","560","America/New_York"
233,"USA","US-NC","Salisbury","517","America/New_York"
234,"USA","US-NC","Shelby","517","America/New_York"
235,"USA","US-NC","Siloam","518","America/New_York"
236,"USA","US-NC","Southern Pines","560","America/New_York"
237,"USA","US-NC","Sparta","518","America/New_York"
238,"USA","US-NC","Stantonsburg","545","America/New_York"
239,"USA","US-NC","Sugar Grove","531","America/New_York"
240,"USA","US-NC","Timberlake","560","America/New_York"
241,"USA","US-NC","Todd","531","America/New_York"
242,"USA","US-NC","Vilas","531","America/New_York"
243,"USA","US-NC","West Jefferson","517","America/New_York"
244,"USA","US-NC","Wilmington","550","America/New_York"
245,"USA","US-NC","Wilson","560","America/New_York"
246,"USA","US-NC","Zionville","531","America/New_York"
247,"USA","US-NJ","Atlantic City","504","America/New_York"
248,"USA","US-NJ","Mickleton","504","America/New_York"
249,"USA","US-NJ","Millville","504","America/New_York"
250,"USA","US-NJ","Mount Laurel","504","America/New_York"
251,"USA","US-NJ","Pennsville","504","America/New_York"
252,"USA","US-NJ","Pleasantville","504","America/New_York"
253,"USA","US-OH","Aberdeen","515","America/New_York"
254,"USA","US-OH","Ashville","535","America/New_York"
255,"USA","US-OH","Cincinnati","515","America/New_York"
256,"USA","US-OH","Circleville","535","America/New_York"
257,"USA","US-OH","Columbus","535","America/New_York"
258,"USA","US-OH","Dayton","542","America/New_York"
259,"USA","US-OH","Fairborn","542","America/New_York"
260,"USA","US-OH","Groveport","535","America/New_York"
261,"USA","US-OH","West Chester","515","America/New_York"
262,"USA","US-OH","Peebles","515","America/New_York"
263,"USA","US-OH","Stout","515","America/New_York"
264,"USA","US-OH","West Union","515","America/New_York"
265,"USA","US-OK","Blanchard","650","America/Chicago"
266,"USA","US-OK","Broken Arrow","671","America/Chicago"
267,"USA","US-OK","Drumright","671","America/Chicago"
268,"USA","US-OK","Fort Gibson","671","America/Chicago"
269,"USA","US-OK","Guthrie","650","America/Chicago"
270,"USA","US-OK","Lexington","650","America/Chicago"
271,"USA","US-OK","Luther","650","America/Chicago"
272,"USA","US-OK","Meeker","650","America/Chicago"
273,"USA","US-OK","Mustang","650","America/Chicago"
274,"USA","US-OK","Newcastle","650","America/Chicago"
275,"USA","US-OK","Norman","650","America/Chicago"
276,"USA","US-OK","Oklahoma City","650","America/Chicago"
277,"USA","US-OK","Shawnee","650","America/Chicago"
278,"USA","US-OK","Spencer","650","America/Chicago"
279,"USA","US-OK","Tulsa","671","America/Chicago"
280,"USA","US-OK","Tuttle","650","America/Chicago"
281,"USA","US-OK","Wellston","650","America/Chicago"
282,"USA","US-PA","Chambersburg","511","America/New_York"
283,"USA","US-PA","Coatesville","504","America/New_York"
284,"USA","US-PA","Darby","504","America/New_York"
285,"USA","US-PA","Gettysburg","566","America/New_York"
286,"USA","US-PA","Greencastle","511","America/New_York"
287,"USA","US-PA","Hanover","566","America/New_York"
288,"USA","US-PA","Kemblesville","504","America/New_York"
289,"USA","US-PA","Littlestown","566","America/New_York"
290,"USA","US-PA","Philadelphia","504","America/New_York"
291,"USA","US-PA","Waynesboro","511","America/New_York"
292,"USA","US-PA","York","566","America/New_York"
293,"USA","US-SC","Aiken","520","America/New_York"
294,"USA","US-SC","Anderson","567","America/New_York"
295,"USA","US-SC","Charleston","519","America/New_York"
296,"USA","US-SC","Clover","517","America/New_York"
297,"USA","US-SC","Columbia","546","America/New_York"
298,"USA","US-SC","Duncan","567","America/New_York"
299,"USA","US-SC","Fountain Inn","567","America/New_York"
300,"USA","US-SC","Greenville","567","America/New_York"
301,"USA","US-SC","North Augusta","520","America/New_York"
302,"USA","US-SC","Salem","567","America/New_York"
303,"USA","US-SC","Seneca","567","America/New_York"
304,"USA","US-SC","Townville","567","America/New_York"
305,"USA","US-SC","Wellford","567","America/New_York"
306,"USA","US-TN","Big Sandy","659","America/Chicago"
307,"USA","US-TN","Brentwood","659","America/Chicago"
308,"USA","US-TN","Clarksville","659","America/Chicago"
309,"USA","US-TN","Dickson","659","America/Chicago"
310,"USA","US-TN","Franklin","659","America/Chicago"
311,"USA","US-TN","Gallatin","659","America/Chicago"
312,"USA","US-TN","Goodlettsville","659","America/Chicago"
313,"USA","US-TN","Hohenwald","659","America/Chicago"
314,"USA","US-TN","Lenoir City","557","America/New_York"
315,"USA","US-TN","Lexington","639","America/Chicago"
316,"USA","US-TN","Madison","659","America/Chicago"
317,"USA","US-TN","Nashville","659","America/Chicago"
318,"USA","US-TN","Newport","557","America/New_York"
319,"USA","US-TN","Portland","659","America/Chicago"
320,"USA","US-TX","Alvarado","623","America/Chicago"
321,"USA","US-TX","Atlanta","612","America/Chicago"
322,"USA","US-TX","Austin","635","America/Chicago"
323,"USA","US-TX","Bonham","623","America/Chicago"
324,"USA","US-TX","Brenham","618","America/Chicago"
325,"USA","US-TX","Burleson","623","America/Chicago"
326,"USA","US-TX","Conroe","618","America/Chicago"
327,"USA","US-TX","Coppell","623","America/Chicago"
328,"USA","US-TX","Dallas","623","America/Chicago"
329,"USA","US-TX","Decatur","623","America/Chicago"
330,"USA","US-TX","Denton","623","America/Chicago"
331,"USA","US-TX","El Campo","618","America/Chicago"
332,"USA","US-TX","Euless","623","America/Chicago"
333,"USA","US-TX","Fort Worth","623","America/Chicago"
334,"USA","US-TX","Freeport","618","America/Chicago"
335,"USA","US-TX","Frisco","623","America/Chicago"
336,"USA","US-TX","Gainesville","623","America/Chicago"
337,"USA","US-TX","Garland","623","America/Chicago"
338,"USA","US-TX","Grapevine","623","America/Chicago"
339,"USA","US-TX","Greenville","623","America/Chicago"
340,"USA","US-TX","Hallettsville","641","America/Chicago"
341,"USA","US-TX","Houston","618","America/Chicago"
342,"USA","US-TX","Hurst","623","America/Chicago"
343,"USA","US-TX","Justin","623","America/Chicago"
344,"USA","US-TX","Katy","618","America/Chicago"
345,"USA","US-TX","Keller","623","America/Chicago"
346,"USA","US-TX","Kilgore","709","America/Chicago"
347,"USA","US-TX","Lancaster","623","America/Chicago"
348,"USA","US-TX","League City","618","America/Chicago"
349,"USA","US-TX","Livingston","618","America/Chicago"
350,"USA","US-TX","London","641","America/Chicago"
351,"USA","US-TX","Mansfield","623","America/Chicago"
352,"USA","US-TX","Marshall","612","America/Chicago"
353,"USA","US-TX","McKinney","623","America/Chicago"
354,"USA","US-TX","Mesquite","623","America/Chicago"
355,"USA","US-TX","Missouri City","618","America/Chicago"
356,"USA","US-TX","Odem","600","America/Chicago"
357,"USA","US-TX","Pasadena","618","America/Chicago"
358,"USA","US-TX","Pearland","618","America/Chicago"
359,"USA","US-TX","Plano","623","America/Chicago"
360,"USA","US-TX","Portland","600","America/Chicago"
361,"USA","US-TX","Pottsboro","657","America/Chicago"
362,"USA","US-TX","Robstown","600","America/Chicago"
363,"USA","US-TX","Rosharon","618","America/Chicago"
364,"USA","US-TX","Round Rock","635","America/Chicago"
365,"USA","US-TX","Rowlett","623","America/Chicago"
366,"USA","US-TX","San Antonio","641","America/Chicago"
367,"USA","US-TX","Sandia","600","America/Chicago"
368,"USA","US-TX","Shiner","641","America/Chicago"
369,"USA","US-TX","Spring","618","America/Chicago"
370,"USA","US-TX","Sugar Land","618","America/Chicago"
371,"USA","US-TX","Sweet Home","626","America/Chicago"
372,"USA","US-TX","Taft","600","America/Chicago"
373,"USA","US-TX","Tomball","618","America/Chicago"
374,"USA","US-TX","Tyler","709","America/Chicago"
375,"USA","US-TX","Woodsboro","600","America/Chicago"
376,"USA","US-VA","Alexandria","511","America/New_York"
377,"USA","US-VA","Annandale","511","America/New_York"
378,"USA","US-VA","Arlington","511","America/New_York"
379,"USA","US-VA","Ashburn","511","America/New_York"
380,"USA","US-VA","Centreville","511","America/New_York"
381,"USA","US-VA","Chantilly","511","America/New_York"
382,"USA","US-VA","Charlottesville","584","America/New_York"
383,"USA","US-VA","Chesapeake","544","America/New_York"
384,"USA","US-VA","Chester","556","America/New_York"
385,"USA","US-VA","Christiansburg","573","America/New_York"
386,"USA","US-VA","Cleveland","531","America/New_York"
387,"USA","US-VA","Fairfax","511","America/New_York"
